checkIn,checkOut,nights,price,pricePerNight,roomType,status,scrapedAt
2027-03-08,2027-03-15,7,11397,1628,"French Village Luxury Room King","ok",2026-07-26T08:37:02.677Z
2027-03-09,2027-03-16,7,11930,1704,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-03-10,2027-03-17,7,12462,1780,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-03-11,2027-03-18,7,12995,1856,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
2027-03-12,2027-03-19,7,13527,1932,"French Village Luxury Room King","ok",2026-07-26T08:37:05.607Z
2027-03-13,2027-03-20,7,14060,2009,"French Village Luxury Room Double","ok",2026-07-26T08:37:02.677Z
2027-03-14,2027-03-21,7,14060,2009,"French Village Luxury Room Double","ok",2026-07-26T08:36:55.526Z
2027-03-15,2027-03-22,7,14060,2009,"French Village Luxury Room Double","ok",2026-07-26T08:36:49.981Z
2027-03-16,2027-03-23,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
2027-03-17,2027-03-24,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:37:05.607Z
2027-03-18,2027-03-25,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:37:02.677Z
2027-03-19,2027-03-26,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-03-20,2027-03-27,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-03-21,2027-03-28,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
2027-03-22,2027-03-29,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:37:05.607Z
2027-03-23,2027-03-30,7,14060,2009,"French Village Luxury Room Double","ok",2026-07-26T08:37:02.677Z
2027-03-24,2027-03-31,7,,,"","no_price",2026-07-26T08:36:55.526Z
2027-03-25,2027-04-01,7,,,"","error: check-out 2027-04-01 is unavailable",2026-07-26T08:36:49.981Z
2027-03-26,2027-04-02,7,,,"","error: check-out 2027-04-02 is unavailable",2026-07-26T08:36:56.327Z
2027-03-27,2027-04-03,7,,,"","error: check-out 2027-04-03 is unavailable",2026-07-26T08:37:05.607Z
2027-03-28,2027-04-04,7,,,"","no_price",2026-07-26T08:37:02.677Z
2027-03-29,2027-04-05,7,,,"","no_price",2026-07-26T08:36:55.526Z
2027-03-30,2027-04-06,7,,,"","no_price",2026-07-26T08:36:49.981Z
2027-03-31,2027-04-07,7,19697,2814,"Italian Penthouse Oceanview Concierge Family Suite with Kids Room","ok",2026-07-26T08:36:56.327Z
2027-04-01,2027-04-08,7,,,"","error: check-in 2027-04-01 is unavailable",2026-07-26T08:37:05.607Z
2027-04-02,2027-04-09,7,,,"","error: check-in 2027-04-02 is unavailable",2026-07-26T08:37:02.677Z
2027-04-03,2027-04-10,7,,,"","error: check-in 2027-04-03 is unavailable",2026-07-26T08:36:55.526Z
2027-04-04,2027-04-11,7,9948,1421,"French Village Luxury Room Double","ok",2026-07-26T08:36:49.981Z
2027-04-05,2027-04-12,7,9948,1421,"French Village Luxury Room Double","ok",2026-07-26T08:36:56.327Z
2027-04-06,2027-04-13,7,9948,1421,"French Village Luxury Room Double","ok",2026-07-26T08:37:05.607Z
2027-04-07,2027-04-14,7,11624,1661,"Caribbean Honeymoon Grande Luxe Double","ok",2026-07-26T08:37:02.677Z
2027-04-08,2027-04-15,7,11680,1669,"Caribbean Honeymoon Grande Luxe Double","ok",2026-07-26T08:36:55.526Z
2027-04-09,2027-04-16,7,11736,1677,"Caribbean Honeymoon Grande Luxe Double","ok",2026-07-26T08:36:49.981Z
2027-04-10,2027-04-17,7,10084,1441,"Caribbean Premium Walkout Room King","ok",2026-07-26T08:36:56.327Z
2027-04-11,2027-04-18,7,10140,1449,"Caribbean Premium Walkout Room King","ok",2026-07-26T08:37:05.607Z
2027-04-12,2027-04-19,7,10196,1457,"Caribbean Premium Walkout Room King","ok",2026-07-26T08:37:02.677Z
2027-04-13,2027-04-20,7,10252,1465,"Caribbean Premium Walkout Room King","ok",2026-07-26T08:36:55.526Z
2027-04-14,2027-04-21,7,10308,1473,"Caribbean Premium Walkout Room King","ok",2026-07-26T08:36:49.981Z
2027-04-15,2027-04-22,7,10308,1473,"Caribbean Premium Walkout Room King","ok",2026-07-26T08:36:56.327Z
2027-04-16,2027-04-23,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:37:05.607Z
2027-04-17,2027-04-24,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:37:02.677Z
2027-04-18,2027-04-25,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:36:55.526Z
2027-04-19,2027-04-26,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:36:49.981Z
2027-04-20,2027-04-27,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:36:56.327Z
2027-04-21,2027-04-28,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:37:05.607Z
2027-04-22,2027-04-29,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:37:02.677Z
2027-04-23,2027-04-30,7,10189,1456,"Caribbean Deluxe King","ok",2026-07-26T08:36:55.526Z
2027-04-24,2027-05-01,7,,,"","error: check-out 2027-05-01 is unavailable",2026-07-26T08:36:49.981Z
2027-04-25,2027-05-02,7,9983,1426,"Caribbean Deluxe King","ok",2026-07-26T08:36:56.327Z
2027-04-26,2027-05-03,7,9777,1397,"Caribbean Deluxe King","ok",2026-07-26T08:37:05.607Z
2027-04-27,2027-05-04,7,9657,1380,"French Village Luxury Room King","ok",2026-07-26T08:37:02.677Z
2027-04-28,2027-05-05,7,9432,1347,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-04-29,2027-05-06,7,9207,1315,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-04-30,2027-05-07,7,10324,1475,"Caribbean Honeymoon Grande Luxe King","ok",2026-07-26T08:36:56.327Z
